id	age	gender	dat.0	dat.2
113	23	Female	84.708835699019	86.0034718222561
114	22	Female	82.9674240401281	84.4397227324191
115	22	Female	91.5891039151964	89.7632512652005
116	19	Male	66.4387677397047	72.0458982246263
117	21	Female	79.0128992160871	81.1286142716805
118	33	Female	76.9413882068225	79.0893469538007
119	20	Male	82.9131650427977	84.0732716600455
120	25	Male	78.0323843870844	81.4882950768584
121	20	Male	76.9453862238498	85.7108937576413
122	19	Female	76.0382303524585	82.8074213178341
123	24	Female	90.7333417196891	87.6129681266667
124	22	Female	69.0084987098262	73.6934966984249
125	19	Female	76.1026989491213	76.8633796700409
126	24	Male	87.1552589615541	80.9012714950811
127	23	Male	79.6024106797718	72.3276500191007
128	23	Female	76.1235524501119	84.4164312029967
129	18	Female	85.8451666072055	83.0000456954752
130	19	Male	90.375994052738	91.0905899524334
131	18	Female	72.4474126739161	80.0102066337353
132	19	Female	85.6419382683054	78.4663220601422
133	21	Female	87.1438535517969	85.2847118523814
134	22	Male	85.3495717580829	80.1165665233774
135	18	Female	77.326364105656	63.5600901075772
138	21	Female	68.4782891046433	70.8072668030148
139	19	Female	86.1890219329369	92.3040247089895
140	21	Female	73.362263469469	71.8730710801624
141	19	Female	88.6060142446132	88.2129460129709
142	18	Female	79.3446587589902	78.1478033445421
143	19	Female	79.3635958895764	76.9522362876506
144	23	Female	75.1771526677268	78.0040464674433
145	18	Female	88.2674437415387	85.7496066157529
146	19	Female	80.3045022523119	78.5448243930226
147	20	Female	80.9239640144543	83.8799239003232
148	18	Female	85.3966262635021	91.0162281821526
149	21	Female	86.8995436068092	87.6000803983992
150	20	Female	81.5562087687708	79.9429257710775
152	20	Female	84.0424014166707	87.1941272479793
154	18	Female	90.5302054426145	89.0683529665694
155	19	Male	83.6413995362818	85.9643165421273
156	21	Male	75.6248913882744	75.1468083688191
157	25	Female	78.1452204854715	83.9876203664711
158	21	Female	74.1902426949569	76.323838496492
159	18	Female	73.2723986818677	66.5663511980148
160	19	Male	81.3138125641715	79.9980767847349
161	24	Female	84.1998366372926	79.6227694976897
162	23	Male	77.9645649095376	83.7314178945408
165	20	Female	85.5197621176818	81.2142078365598
166	20	Female	75.3806526817027	78.9130346051284
168	22	Female	71.8891547194549	75.8203103783585
199	22	Female	85.2235589642078	88.699529679226
